,verdict,buying,maint,doors,persons,lug_boot,safety,condprob
1746,unacc,high,high,2,4,med,high,0.5
1747,unacc,high,high,4,4,med,low,1.0
1748,unacc,high,med,2,more,small,high,1.0
1749,unacc,high,med,5more,2,med,med,1.0
1750,unacc,low,low,3,4,big,low,1.0
1751,unacc,high,high,4,2,big,med,1.0
1752,acc,high,med,2,4,small,high,1.0
1753,unacc,vhigh,med,3,2,small,low,1.0
1754,unacc,med,high,5more,4,med,low,1.0
1755,unacc,vhigh,vhigh,5more,more,small,high,1.0
1756,unacc,vhigh,vhigh,5more,more,big,med,1.0
1757,acc,low,high,4,4,small,med,1.0
1758,acc,med,vhigh,4,more,big,med,1.0
1759,acc,low,high,4,more,small,high,1.0
1760,unacc,low,high,5more,more,small,low,1.0
1761,acc,low,vhigh,5more,4,med,high,1.0
1762,unacc,high,vhigh,4,2,big,high,1.0
1763,unacc,med,high,4,2,big,med,1.0
1764,unacc,high,high,3,more,med,med,0.5
1765,good,low,low,2,more,big,med,1.0
1766,acc,vhigh,low,5more,more,small,high,1.0
1767,unacc,low,low,3,4,med,low,1.0
1768,acc,low,high,5more,more,big,med,1.0
1769,unacc,vhigh,vhigh,4,4,small,high,1.0
1770,unacc,low,high,4,2,med,low,1.0
1771,unacc,low,high,4,4,med,low,1.0
1772,unacc,high,high,4,4,big,low,1.0
1773,vgood,med,low,3,4,big,high,1.0
1774,vgood,low,high,5more,4,big,high,1.0
1775,unacc,high,high,3,4,small,high,0.5
1776,unacc,med,low,2,2,small,low,1.0
1777,unacc,high,med,5more,more,med,low,1.0
1778,unacc,high,high,4,2,med,low,1.0
1779,unacc,high,med,4,2,big,low,1.0
1780,unacc,med,vhigh,4,more,med,low,1.0
1781,unacc,low,low,5more,2,big,low,1.0
1782,unacc,med,high,3,2,med,low,1.0
1783,acc,med,vhigh,5more,4,med,high,1.0
1784,unacc,high,med,2,2,small,low,1.0
1785,acc,high,high,2,4,big,high,0.5
1786,acc,med,vhigh,5more,more,big,med,1.0
1787,unacc,high,high,3,4,small,med,1.0
1788,acc,vhigh,low,3,4,small,high,1.0
1789,unacc,low,low,3,more,med,low,1.0
1790,good,med,low,3,more,small,high,1.0
1791,unacc,vhigh,high,3,2,med,med,1.0
1792,unacc,med,low,2,2,big,low,1.0
1793,unacc,high,low,2,4,small,low,1.0
1794,unacc,vhigh,high,3,4,small,high,1.0
1795,unacc,high,low,5more,2,big,med,1.0
1796,unacc,vhigh,low,2,2,med,high,1.0
1797,acc,vhigh,low,5more,4,small,high,1.0
